tag,tag_key,tag_value,osm_type,osm_id,name,name_ko,name_en,has_hangul_name,lat,lon,address
amenity=restaurant,amenity,restaurant,node,11770050419,먹골정육식당,,,Y,37.6510110,127.1792064,진건오남로 4
amenity=restaurant,amenity,restaurant,node,13946958795,차차네 김볶,,,Y,37.5585487,127.0336281,서울특별시 성동구 행당로 133
amenity=restaurant,amenity,restaurant,node,12074382223,윤반장푸드,,,Y,37.5076274,127.0288719,강남대로120길 67
shop=convenience,shop,convenience,node,13911615085,GS25 합정프리미엄점,,,Y,37.5490080,126.9152140,"양화로6길 18,"
amenity=restaurant,amenity,restaurant,node,13851762285,카페베네 을지로PJ호텔점,,,Y,37.5642195,126.9961708,마른내로 71
amenity=dentist,amenity,dentist,node,368787581,두리치과,두리치과,Duri Dental Clinic,Y,37.6571300,126.8371000,
amenity=restaurant,amenity,restaurant,node,13946853249,원조복집,,,Y,37.6124834,127.0291836,숭인로 67
amenity=restaurant,amenity,restaurant,node,13956896725,짝태&노가리,,,Y,37.5390831,127.1265126,올림픽로70길 52
amenity=restaurant,amenity,restaurant,node,13946959383,더양평해장국 성수역점,,,Y,37.5482324,127.0556374,서울특별시 성동구 아차산로7길 36
amenity=police,amenity,police,node,368602963,북가좌2치안센터,북가좌2치안센터,Bukgajwa 2 Community Policing Center,Y,37.5829840,126.9127670,
shop=convenience,shop,convenience,node,13911612872,CU 등촌디앤써밋점,,,Y,37.5515570,126.8644640,공항대로 521
amenity=cafe,amenity,cafe,node,6257448654,스타벅스,스타벅스,Starbucks,Y,37.5079009,127.0652472,
amenity=restaurant,amenity,restaurant,node,13930561409,콩유소(CONGYUSO),,,Y,37.5124938,126.9169459,도신로 235
healthcare=doctor,healthcare,doctor,node,368799839,푸른정형외과의원,푸른정형외과의원,Pureunjeonghyeongoegwa Clinic,Y,37.5269955,126.8165672,
amenity=fast_food,amenity,fast_food,node,7557524286,PIZZATHINK,,,N,37.5667594,127.0680881,
amenity=restaurant,amenity,restaurant,node,13854681693,들꽃에 이는 향기처럼,,,Y,37.5623275,127.0658534,"장한로2길 7, 2층 (장안동)"
amenity=doctors,amenity,doctors,node,368789073,해오름한의원,해오름한의원,Haeoreum Oriental Medicine Clinic,Y,37.6577840,126.7736590,
amenity=cafe,amenity,cafe,node,13682461144,아름다운한옥 유주,,,Y,37.5836520,126.9799446,
amenity=restaurant,amenity,restaurant,node,13946798041,청담골 반상,,,Y,37.5116384,127.0453293,선릉로112길 21
amenity=restaurant,amenity,restaurant,node,13854680544,팔선생,,,Y,37.5910655,127.0402822,"회기로 34, 1~2층 (제기동)"
amenity=cafe,amenity,cafe,node,13204266620,빽다방,빽다방,Paik's Coffee,Y,37.5578176,126.9367551,연세로 23
tourism=hotel,tourism,hotel,node,12360427730,머큐어 서울 마곡,,,Y,37.5664295,126.8254635,마곡중앙5로 143
amenity=restaurant,amenity,restaurant,node,12074643172,민지네감자탕해장국,,,Y,37.5607032,127.0856120,긴고랑로 89
amenity=restaurant,amenity,restaurant,node,12074575608,화이트,,,Y,37.5584736,126.9801398,남대문시장길 45-5
shop=convenience,shop,convenience,node,3521838609,CU,,,N,37.4851522,126.9394975,
amenity=restaurant,amenity,restaurant,node,13851760645,여름연못,,,Y,37.5661770,126.9821860,을지로 30
shop=supermarket,shop,supermarket,node,9448571440,우리애마트,,,Y,37.5998419,127.1037609,
amenity=restaurant,amenity,restaurant,node,13946798534,감탄성신,,,Y,37.5029160,127.0266552,강남대로106길 14
shop=supermarket,shop,supermarket,node,7558417118,명신슈퍼,,,Y,37.5813554,127.0198775,
amenity=restaurant,amenity,restaurant,node,13851761753,카레데이,,,Y,37.5638534,126.9858176,명동길 61
amenity=restaurant,amenity,restaurant,node,13958829210,낭만,,,Y,37.4927735,127.1471263,오금로 526
amenity=restaurant,amenity,restaurant,node,7557515521,봉황부대찌개,,,Y,37.5815405,127.0725761,
amenity=restaurant,amenity,restaurant,node,13946954978,조선초가 한끼,,,Y,37.5445556,126.9449692,서울특별시 마포구 독막로 288
amenity=restaurant,amenity,restaurant,node,13854682836,러블티,,,Y,37.5872205,127.0602425,망우로18가길 70 (휘경동)
amenity=restaurant,amenity,restaurant,node,13903555760,햇살담은생선구이,,,Y,37.5344427,127.0782326,서울특별시 광진구 자양로15길 105
shop=convenience,shop,convenience,node,13264592269,GS25,,,N,37.5570498,126.9417327,
amenity=restaurant,amenity,restaurant,node,13851761038,(주)밸런티 명동점,,,Y,37.5611699,126.9825162,소공로 63
amenity=restaurant,amenity,restaurant,node,12074652289,골든볼9,,,Y,37.5125595,126.9417072,노량진로 140
